score,coverage,variants_used,variants_total,variants_flipped,variants_ambiguous,trait,trait_efo
PGS000001,0.948051948051948,73,77,0,0,Breast Cancer,EFO_0000305
PGS000002,0.948051948051948,73,77,0,0,ER-positive Breast Cancer,EFO_1000649
PGS000003,0.948051948051948,73,77,0,0,ER-negative Breast Cancer,EFO_1000650
PGS000004,1.0,313,313,0,0,Breast Cancer,EFO_0000305
PGS000005,1.0,313,313,0,0,ER-positive Breast Cancer,EFO_1000649
PGS000006,1.0,313,313,0,0,ER-negative Breast Cancer,EFO_1000650
PGS000007,0.999738219895288,3819,3820,0,0,Breast Cancer,EFO_0000305
PGS000008,0.999738219895288,3819,3820,0,0,ER-positive Breast Cancer,EFO_1000649
PGS000009,0.999738219895288,3819,3820,0,0,ER-negative Breast Cancer,EFO_1000650
PGS000010,0.7777777777777778,21,27,0,0,Coronary heart disease,EFO_0001645
PGS000011,0.96,48,50,0,0,Coronary artery disease,EFO_0001645
PGS000012,0.7878320827418374,38848,49310,0,0,Coronary artery disease,EFO_0001645
PGS000013,1.0,6630150,6630150,0,0,Coronary artery disease,EFO_0001645
PGS000014,1.0,6917436,6917436,0,0,Type 2 diabetes,MONDO_0005148
PGS000015,1.0,5218,5218,0,0,Breast cancer,EFO_0000305
PGS000016,1.0,6730541,6730541,0,0,Atrial fibrillation,EFO_0000275
PGS000017,1.0,6907112,6907112,0,0,Inflammatory bowel disease,EFO_0003767
PGS000018,0.9967854300332516,1739569,1745179,0,0,Coronary artery disease,EFO_0001645
PGS000023,1.0,7,7,0,0,Type 1 diabetes,MONDO_0005147
PGS000025,1.0,19,19,0,0,Alzheimer's Disease,MONDO_0004975
PGS000026,0.9393939393939394,31,33,0,0,Alzheimer’s Disease,MONDO_0004975
PGS000027,1.0,2100302,2100302,0,0,Body Mass Index,EFO_0004340
PGS000028,0.9534883720930233,82,86,0,0,Breast cancer,EFO_0000305
PGS000029,1.0,76,76,0,0,Breast cancer,EFO_0000305
PGS000030,0.7074829931972789,104,147,0,0,Prostate cancer,EFO_0001663
PGS000032,0.75,15,20,0,0,Type 2 diabetes (based on SNPs involved in β-cell function),MONDO_0005148
PGS000033,0.9,9,10,0,0,Type 2 diabetes (based on SNPs involved in insulin resistance),MONDO_0005148
PGS000034,0.0,0,97,0,0,Adult Body Mass Index,EFO_0004340
PGS000035,0.771404109589041,901,1168,0,0,Atrial fibrillation,EFO_0000275
PGS000036,0.9929050680587915,170034,171249,0,0,Type 2 diabetes,MONDO_0005148
PGS000037,0.0,0,15,0,0,Asthma,MONDO_0004979
PGS000038,0.7444444444444445,67,90,0,0,Stroke,EFO_0000712
PGS000039,0.9971354015692667,3216343,3225583,0,0,Ischaemic stroke,EFO_0000712
PGS000043,1.0,297,297,0,0,Venous thromboembolism,EFO_0004286
PGS000044,0.5,33,66,0,0,Prostate cancer,EFO_0001663
PGS000045,0.6590909090909091,58,88,0,0,Breast cancer,EFO_0000305
PGS000046,0.6551724137931034,57,87,0,0,Estrogen receptor [ER]-positive breast cancer,EFO_1000649
PGS000047,0.6037735849056604,32,53,0,0,Estrogen receptor [ER]-negative breast cancer,EFO_1000650
PGS000048,0.9411764705882353,16,17,0,0,Ovarian cancer,EFO_0001075
PGS000049,0.7087378640776699,73,103,0,0,Prostate Cancer,EFO_0001663
PGS000050,1.0,44,44,0,0,Breast cancer,EFO_0000305
PGS000051,0.7761194029850746,52,67,0,0,Breast Cancer ,EFO_0000305
PGS000052,0.9751552795031055,157,161,0,0,Breast cancer,EFO_0000305
PGS000053,0.6666666666666666,14,21,0,0,Alzheimer's disease (late onset),EFO_1001870
PGS000054,0.8095238095238095,17,21,0,0,Alzheimer's disease (late onset),EFO_1001870
PGS000055,1.0,76,76,0,0,Colorectal cancer,EFO_0005842
PGS000056,0.9130434782608695,21,23,0,0,Parkinson Disease,MONDO_0005180
PGS000057,0.5964912280701754,34,57,0,0,Coronary heart disease,EFO_0001645
PGS000058,0.9852941176470589,201,204,0,0,Coronary artery disease,EFO_0001645
PGS000059,0.7608695652173914,35,46,0,0,Coronary heart disease,EFO_0001645
PGS000060,1.0,46,46,0,0,high-density lipoprotein (HDL) cholesterol,EFO_0004612
PGS000061,0.972972972972973,36,37,0,0,low-density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000062,0.9807692307692307,51,52,0,0,total cholesterol,EFO_0004574
PGS000063,1.0,32,32,0,0,triglycerides,EFO_0004530
PGS000064,1.0,120,120,0,0,High density lipoprotein (HDL) cholesterol,EFO_0004612
PGS000065,1.0,103,103,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
