score,coverage,variants_used,variants_total,variants_flipped,variants_ambiguous,trait,trait_efo
PGS000001,0.961038961038961,74,77,0,0,Breast Cancer,EFO_0000305
PGS000002,0.961038961038961,74,77,0,0,ER-positive Breast Cancer,EFO_1000649
PGS000003,0.961038961038961,74,77,0,0,ER-negative Breast Cancer,EFO_1000650
PGS000004,0.7699680511182109,241,313,0,0,Breast Cancer,EFO_0000305
PGS000005,0.7699680511182109,241,313,0,0,ER-positive Breast Cancer,EFO_1000649
PGS000006,0.7699680511182109,241,313,0,0,ER-negative Breast Cancer,EFO_1000650
PGS000007,0.775130890052356,2961,3820,0,0,Breast Cancer,EFO_0000305
PGS000008,0.775130890052356,2961,3820,0,0,ER-positive Breast Cancer,EFO_1000649
PGS000009,0.775130890052356,2961,3820,0,0,ER-negative Breast Cancer,EFO_1000650
PGS000010,0.7777777777777778,21,27,0,0,Coronary heart disease,EFO_0001645
PGS000011,0.96,48,50,0,0,Coronary artery disease,EFO_0001645
PGS000012,0.788927195295072,38902,49310,0,0,Coronary artery disease,EFO_0001645
PGS000013,0.9445380572083588,6262429,6630150,0,0,Coronary artery disease,EFO_0001645
PGS000014,0.9422768783115594,6518140,6917436,0,0,Type 2 diabetes,MONDO_0005148
PGS000015,0.8633576082790341,4505,5218,0,0,Breast cancer,EFO_0000305
PGS000016,0.9416032084196501,6337499,6730541,0,0,Atrial fibrillation,EFO_0000275
PGS000017,0.942066959389105,6506962,6907112,0,0,Inflammatory bowel disease,EFO_0003767
PGS000018,0.9998756574540492,1744962,1745179,0,0,Coronary artery disease,EFO_0001645
PGS000023,0.7142857142857143,5,7,0,0,Type 1 diabetes,MONDO_0005147
PGS000025,1.0,19,19,0,0,Alzheimer's Disease,MONDO_0004975
PGS000026,0.9393939393939394,31,33,0,0,Alzheimer’s Disease,MONDO_0004975
PGS000027,0.9943860454353707,2088511,2100302,0,0,Body Mass Index,EFO_0004340
PGS000028,0.9534883720930233,82,86,0,0,Breast cancer,EFO_0000305
PGS000029,1.0,76,76,0,0,Breast cancer,EFO_0000305
PGS000030,0.673469387755102,99,147,0,0,Prostate cancer,EFO_0001663
PGS000032,0.75,15,20,0,0,Type 2 diabetes (based on SNPs involved in β-cell function),MONDO_0005148
PGS000033,0.9,9,10,0,0,Type 2 diabetes (based on SNPs involved in insulin resistance),MONDO_0005148
PGS000034,0.0,0,97,0,0,Adult Body Mass Index,EFO_0004340
PGS000035,0.6943493150684932,811,1168,0,0,Atrial fibrillation,EFO_0000275
PGS000036,0.9999766421993705,171245,171249,0,0,Type 2 diabetes,MONDO_0005148
PGS000037,0.0,0,15,0,0,Asthma,MONDO_0004979
PGS000038,0.7,63,90,0,0,Stroke,EFO_0000712
PGS000039,0.9999959697208226,3225570,3225583,0,0,Ischaemic stroke,EFO_0000712
PGS000043,0.898989898989899,267,297,0,0,Venous thromboembolism,EFO_0004286
PGS000044,0.5,33,66,0,0,Prostate cancer,EFO_0001663
PGS000045,0.625,55,88,0,0,Breast cancer,EFO_0000305
PGS000046,0.632183908045977,55,87,0,0,Estrogen receptor [ER]-positive breast cancer,EFO_1000649
PGS000047,0.5471698113207547,29,53,0,0,Estrogen receptor [ER]-negative breast cancer,EFO_1000650
PGS000048,0.7647058823529411,13,17,0,0,Ovarian cancer,EFO_0001075
PGS000049,0.6310679611650486,65,103,0,0,Prostate Cancer,EFO_0001663
PGS000050,1.0,44,44,0,0,Breast cancer,EFO_0000305
PGS000051,0.7761194029850746,52,67,0,0,Breast Cancer ,EFO_0000305
PGS000052,0.8757763975155279,141,161,0,0,Breast cancer,EFO_0000305
PGS000053,0.6666666666666666,14,21,0,0,Alzheimer's disease (late onset),EFO_1001870
PGS000054,0.5238095238095238,11,21,0,0,Alzheimer's disease (late onset),EFO_1001870
PGS000055,0.9605263157894737,73,76,0,0,Colorectal cancer,EFO_0005842
PGS000056,0.9130434782608695,21,23,0,0,Parkinson Disease,MONDO_0005180
PGS000057,0.5964912280701754,34,57,0,0,Coronary heart disease,EFO_0001645
PGS000058,0.9607843137254902,196,204,0,0,Coronary artery disease,EFO_0001645
PGS000059,0.7608695652173914,35,46,0,0,Coronary heart disease,EFO_0001645
PGS000060,1.0,46,46,0,0,high-density lipoprotein (HDL) cholesterol,EFO_0004612
PGS000061,0.972972972972973,36,37,0,0,low-density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000062,0.9807692307692307,51,52,0,0,total cholesterol,EFO_0004574
PGS000063,1.0,32,32,0,0,triglycerides,EFO_0004530
PGS000064,1.0,120,120,0,0,High density lipoprotein (HDL) cholesterol,EFO_0004612
PGS000065,1.0,103,103,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000066,1.0,101,101,0,0,Triglycerides (TG),EFO_0004530
PGS000067,0.8518518518518519,46,54,0,0,Prostate cancer,EFO_0001663
PGS000068,0.8666666666666667,13,15,0,0,Epithelial ovarian cancer,EFO_0001075
PGS000069,0.8666666666666667,13,15,0,0,Serous epithelial ovarian cancer,EFO_1001516
PGS000070,0.7368421052631579,14,19,0,0,Lung cancer,EFO_0000571
PGS000071,0.9333333333333333,14,15,0,0,Bladder cancer,MONDO_0004986
PGS000072,0.8770053475935828,164,187,0,0,Breast cancer,EFO_0000305
PGS000073,0.8,8,10,0,0,Cervical cancer,EFO_0001061
PGS000074,0.970873786407767,100,103,0,0,Colorectal cancer,EFO_0005842
PGS000075,0.8888888888888888,8,9,0,0,Endometrial cancer,EFO_1001512
PGS000076,0.8421052631578947,16,19,0,0,Kidney cancer,EFO_0000681
PGS000077,0.88,66,75,0,0,Lymphocytic leukemia,EFO_0004289
PGS000078,0.7981651376146789,87,109,0,0,Lung cancer,EFO_0001071
PGS000079,0.9166666666666666,22,24,0,0,Melanoma,EFO_0000756
PGS000080,0.9473684210526315,18,19,0,0,Non-Hodgkin's lymphoma,EFO_0005952
PGS000081,0.6428571428571429,9,14,0,0,Oral cavity and pharyngeal cancers,EFO_0005570
PGS000082,0.7777777777777778,28,36,0,0,Ovarian cancer,EFO_0001075
