sample,PGS002695,PGS003215,PGS000776,PGS002986,PGS001373,PGS000911,PGS000757,PGS000030,PGS001134,PGS003170,PGS002682,PGS002628,PGS002864,PGS000388,PGS000505,PGS000260,PGS000228,PGS002169,PGS002237,PGS001235,PGS000109,PGS000497,PGS000003,PGS001362,PGS003350,PGS002615,PGS002953,PGS000943,PGS001902,PGS002943,PGS001353,PGS002951,PGS000965,PGS002255,PGS002416,PGS002916,PGS002910,PGS001606,PGS000177,PGS002131,PGS000964,PGS003146,PGS003312,PGS002322,PGS001955,PGS000363,PGS002462,PGS001490,PGS001050,PGS001167,PGS001868,PGS000893,PGS001602,PGS002227,PGS001100,PGS001570,PGS000574,PGS002224,PGS001974,PGS001544,PGS000725,PGS000876,PGS001143,PGS003183,PGS002015,PGS002392,PGS000102,PGS001669,PGS000680,PGS000844,PGS002018,PGS001996,PGS001061,PGS001262,PGS002827,PGS002565,PGS001477,PGS002987,PGS000023,PGS000601,PGS003023,PGS001971,PGS003075,PGS000160,PGS000333,PGS001248,PGS000607,PGS000103,PGS002693,PGS002028,PGS001334,PGS002242,PGS000932,PGS001998,PGS002437,PGS001360,PGS001368,PGS000225,PGS000798
Sample_1,0.741297533892127,-0.789767683119862,0,-2.74943997074388,-8.13776231901919,-2.2319131888861,-1,0.50336799195793,0.901283767109726,16.1590119220782,-0.09041336787646,0.259435144883132,0.873251651549315,-0.311628043982111,0.794491706026747,0.024334709585117,-0.494676411821927,0.035823835722521,-0.529600397617571,0.165172879013406,-0.081798245319957,-0.406195780684357,-0.558144866023213,1.59224133330472,0.256516994908452,0.152821126071103,0.613785557725816,0.093470491352491,-0.374680979199184,-0.155114519754954,0.291999995708466,0.146095011310535,-0.163181846642068,-0.046838126005284,-66.7924458725774,-2.65555435171336,0.266146632953451,125.004579104192,-0.826604101333942,-0.244508823960351,0.127555253187893,-2.26055205720286,-0.270860679946771,0.507561397464944,-0.050372080765489,0.021741213699457,-0.570803891657761,-0.015263053148403,0.028071524050873,0.775593566936331,6.53891244181432,-2.04158101513713,37.7595324344729,-1.79538433837205,-3.19139404387372,85.2931273407885,-0.049437584037391,3.91821907180886,0.004582224601487,16716.3155238519,0.0259999781847,0.032349121298466,23.5933894652626,-0.662123058963606,0.09113817480099,-41.4500039069808,-0.723958132076586,0.00220750923525,0.073086179172259,0.3828106554447,-0.001549680439843,0.780645540784855,-0.099994456984609,-0.400144151202966,0.400560863326973,1.27185031130557,-0.009249215158961,0.007479142283183,2.37599995732307,2.49615366439684,0.016140691900792,-0.101386719063033,46.6065770007772,11.5528503877576,-0.385050838098605,1.00911801107088,-0.162064035426592,-0.968714418874767,0.106484654491327,-8.87578013313699E-05,-0.143835199184878,-0.435005640507007,0.161182509036109,0.107591503275699,1.61084103357734,0.623514848207332,1.10723840807286,0.146565414183267,0.9740323024198
Sample_2,0.626215556111691,0.432335252902703,0,-5.77780612114475,-8.43409761488886,-2.42174195062936,-1,0.954780000334722,-6.23812391220927,-1.30021144551574,0.127690242566818,0.038975962562001,0.581085013074086,-0.107285216980941,1.12189814811427,-0.362401195129136,-0.488583718114472,0.017388893856504,-0.833369495915747,0.081830897695611,-0.268983515350961,-0.010971389165206,0.244913257542066,0.695998748117937,0.293952097241345,-0.543544318291424,0.378887742113077,0.084026588127017,-1.97732197034566,0.334440601929211,0,0.088892010855489,-0.562645791966951,-0.019649829260246,-66.0881546488517,-1.01978815755319,0.06921465939763,292.199755582493,-1.34259059388842,-1.19118088566242,0.219255287520355,0.486655507363139,-0.250413132012461,0.172772048202185,0.027432855622443,-0.009960877915354,5.77627190952035,-0.009387570603715,-0.226479031493724,0.267706283813538,4.16119120793883,2.14612622699178,20.029565920122,-4.47085352995371,-2.6105612368508,230.397066759426,-0.054680693084478,-1.39394147885887,-0.02775035611689,14711.1125319554,-0.377872012555599,-0.002525689516915,17.381015425532,-0.307520704435428,0.045122404919624,-42.5245882160898,-0.773096804874979,-0.011903090396268,-0.018021782395317,0.402928612189498,-0.001219756820264,0.931331758716394,-0.045270640605359,-0.734759830138074,0.305832051148173,0.261391629751415,-0.018321441647468,0.063662946587853,3.23899999260902,0.694811593741179,0.013849383509369,-0.137021807549776,36.4858614197583,7.62392836809158,-0.416086740329642,0.876739919615147,0.020891544204607,-1.31470454566808,0.185970871852244,0.001853220167788,0.166227572819594,-0.198983927539781,0.138876730004682,0.112803215539747,3.55363317054707,1.47987590957074,0.890112459143112,0.290529559745399,0.362143121135887
Sample_3,0.568304039416027,3.30225264562978,0,-6.69022443297217,-4.49185063144472,-2.14258109931774,1,0.491074994482915,1.60639587073189,17.8194026526908,0.125681611480157,0.327834317340373,0.731545353705088,-0.209284849087259,0.933812910039705,-0.181412343171874,-0.486012896291188,0.175669923478419,-0.615612404691206,0.212241707991224,0.969797926823275,0.042686425429565,-0.467038945120294,1.10743419747035,0.575406093590573,0.787589256424326,0.451298151674704,0.044303960865364,-0.421289393861574,-0.026254302669619,0.507603999285493,0.130226004810538,0.075385976678604,-0.046899605862092,-66.8824150135533,-2.72392630709328,0.358255136576986,-95.1320496053086,-0.185099065814029,-0.316249967885891,0.033241473744056,-0.803459672447389,-0.528737181132848,0.20881118961318,-0.001863029729686,0.059075829288127,8.0005020672811,-0.009570471261039,0.152530434659354,0.995550441036202,1.67348631622735,1.12880105488466,12.8570280543208,-3.1649422673716,-2.25328375835148,225.25836502677,-0.235242903908926,1.18936279743422,0.028929156207287,10282.9128218032,0.40125597268343,0.289637219393626,41.4323037158974,-0.163675972063787,0.033825436966134,-41.3843384589718,-0.465659856404904,-0.010137874280687,0.028533084291372,0.37731184400036,-0.00025434210867,0.784727178114911,-0.136738353106693,-0.080048107428056,0.182736500166357,-0.625009331622096,-0.021461746893333,-0.004905761928651,3.76820901036263,2.6481616422534,0.017474391650158,-0.19984700872327,42.8965995184481,4.46118664788082,-0.787906676114376,-0.04003916966326,-0.066792753166228,-0.767620196244455,0.057029295546006,0.001732350734186,0.394201952291496,-0.18455746383518,-0.018890142850978,0.127703933254101,3.53919914961716,1.26143557060199,1.02226828005288,0.421601801640579,1.30775852546867
Sample_4,0.532932028217365,-4.05131520292343,0,-6.30917553014388,-1.26821380686313,-2.31708635785346,-2,0.067558962095063,-1.08637581206003,11.5378817132005,-0.044175104172017,0.090469630508607,-0.67854559434497,-0.17013802699819,-0.193601791659603,0.185250875609737,-0.201050958132874,0.207578754424138,-0.565251494683992,0.31292338820383,1.25634570417513,-1.03144548551063,-0.551332057919353,0.218453135047691,0.421208692714572,0.145131464892984,0.144060225828799,0.086716019315645,-0.109650277180664,0.059969216612718,0.215285003592726,-0.114713993752957,-0.270741081391388,0.009116574722237,-66.7206793878631,-1.08930413382586,0.064461929609706,-96.2927908477141,-1.1238566530501,-0.531974349804515,0.008039139618631,-1.32093625159814,-0.533151620839544,-0.049187188783718,0.104291102826742,0.11828333692425,8.20739176922598,-0.008467067049338,0.415216622383468,0.958410994583657,4.15672534738405,1.35694239590566,-6.51612098282203,-4.24528574252027,-0.95909440088073,139.921941876513,-0.282030958563535,4.76202094639587,-0.010047646990161,15438.3013202203,-0.044921010732651,0.918079111754196,82.1133599539025,-0.073299744233335,0.018989116407769,-42.0966694772615,-0.945813755944229,-0.006389327790323,0.153151616067877,0.830171513817731,-0.001607074647235,-0.896929354266122,0.011265668598412,0.01466057150293,0.436374191227515,-2.18119550110714,-0.003955149872081,0.023689131551682,2.23499995470047,1.97985391580733,0.009953746898518,-0.223252110254383,43.4280376970273,0.782912525115535,-0.703508783164595,0.70449238347674,-0.144499558448545,-1.05902285397669,-0.335402617860317,0.000104976001349,0.361844465996768,-0.77137846416285,0.094959856083733,0.105797996912274,0.711465294256414,0.456037544925898,0.482318446581911,0.452750420516341,0.783020640126779
Sample_5,0.739353407809081,1.06498003090383,0,-5.86839571787823,-5.77231045547408,-1.31521179105555,0,1.17693999691983,8.41839027455758,3.93484164756956,0.116323760616463,0.2299110347805,-0.282941915896423,0.023169388889762,1.56612304958981,-0.11985179075647,-0.78146468385676,0.286257918466692,-0.570984198698625,0.41923910858161,-0.09767867936739,0.762900629579235,-0.339585068519227,0.495767596304864,0.342764191005699,-0.550015963977785,0.663547438266492,0.018131279153749,-0.401410911279756,0.169162862216832,0,0.213000005111098,-0.216012217501806,-0.016066042008836,-67.1666428611552,-2.05006908238465,0.42959832446445,232.395035087771,0.450597568135891,-0.866328651805515,0.183890072104987,-3.74014744305987,-0.519509489388399,0.517088952243407,0.018631831111827,-0.098543228071138,9.69742411100924,-0.007369410274706,0.138871492464006,1.23731351941455,1.73656477086479,-1.47418747698839,22.9311596787302,-5.87792809338326,-2.39361587006148,240.543322540629,0.063342294113792,7.40550997703107,-0.050650470981066,14905.0381253571,-0.354636026546359,0.183826703054365,-7.23188800973003,-0.407290686813785,0.045822865014988,-42.2730572142182,0.013177559612761,-0.00825718660275,0.07489227752201,0.605676077120734,-0.001049922522988,0.593155647486374,-0.172388647957028,0.360021259876746,0.319601759314537,3.76952222043201,-0.020616983865653,-0.012342233563416,6.18299999833107,1.71471204608679,-0.014806722361708,-0.320986236857657,85.6622178515099,19.6474639619701,-0.173494523908335,0.677106440815578,-0.106350115042341,0.06520460066831,0.304203506653568,0.003640539988997,0.257261286184985,-0.50660066004655,0.017045395026798,0.107661433857424,4.86477637029293,0.265103137108113,0.089693663264149,0.133086966448398,1.19376166039001
Sample_6,0.603188803812609,3.07600467960583,0,-6.22878712129295,-8.52243928088933,-2.25829816452559,-2,0.71219200638734,-1.19348376021846,14.9462120296084,0.124508239329753,0.076391094252009,-0.209775080346521,-0.275971518622428,0.648742617260723,-0.086071281827977,-0.862023396154469,0.02194273429849,-0.577522195093877,0.446578308196572,-0.000254677051796,-1.1012800530043,-0.315541254793061,1.74140642796684,0.242272999990746,-0.054635586076984,-0.134409487169452,0.047605337342247,0.151286915967374,-0.157364214245494,0.215000003576279,-0.071950000525249,-0.772063227427642,0.039907056091668,-66.9597564521064,-0.202169668516035,0.338973992253386,70.3842327864841,-0.523942657455336,-1.15656714774338,0.083740163041512,-1.67918447625198,-0.264374786434782,0.127411384311186,0.150401641486591,0.052949393606398,7.1972357825598,-0.014656148966566,-0.066942583618982,1.19819021657235,1.70052071136524,0.220597560738497,11.9411215006112,1.09807783556634,-2.99926884687575,108.357498049023,-0.412876408652981,2.60457149321018,-0.109815422576392,8419.40333307162,0.419656974336249,0.322963516606251,-35.6307123629886,-0.465120463624468,-0.000903810393263,-42.0901606843481,-0.897819628713464,-0.001653412931374,-0.041658080642089,0.747332898352397,-0.000946134682794,1.23804650472456,-0.159753185058946,-0.160627569941795,0.30588342428382,3.99914832367995,-0.006549245182345,0.055501797022758,2.3751939535141,0.764067362353671,-0.007900249559829,-0.130038145554967,40.8191996921669,13.4789164268877,-0.468724201692603,1.03169625115805,-0.229871536845762,-1.04275785169023,-0.048114824043122,9.42861445901276E-07,0.158560230185458,-0.900932290388007,0.018786517510307,0.119790222793519,2.50047590541635,1.4492486452012,1.68710657675678,-0.062618358787974,0.151761449655169
Sample_7,0.330457376280086,-4.5399697350731,0,-6.58039713829203,-9.47525047213183,-1.11381859730461,-1,0.964587026915978,2.38887712391327,19.6848713269137,0.154881558509745,0.346192206927346,0.701137141488342,-0.151395862130581,0.165339274659345,0.009965397476389,-0.852063458331193,0.190883747221869,-0.723312588403189,0.445201800066105,0.445898761495607,-1.31873091123271,-0.160054240579484,1.03616167561512,0.481324592556121,0.368748958035212,0.32980486111649,0.041851885151118,0.252928977352213,-0.057665219776976,0,0.167910008916806,-0.555705347844153,-0.076949835289188,-66.6134280679726,-2.43070697241274,0.265901432327837,-204.898006411735,-1.21089547715474,-0.960143021135197,0.171724125239052,0.621326997315464,-0.276943801667791,-0.130316372417451,0.073276395789039,-0.006443435193716,1.87766322635798,-0.012483031053371,0.295964841386507,1.41116814098761,0.820400817668997,2.75339262313491,7.55044235398964,-1.6189725659545,-1.77830111638281,210.13577728736,-0.01411459589856,3.66328097564069,-0.051792454885786,13033.8680930603,0.75723098218441,0.220469609950669,43.7096754971426,-0.145758614259311,0.02684474384837,-41.2851033157604,-0.600484102109752,-0.015061047723251,0.01515456525246,0.769269283807262,-0.00095692604999,0.612965950253505,-0.046794846429315,-0.164379511312518,0.316386405182129,0.894978403688583,-0.023049765072695,0.036011390407416,2.77899995446205,1.38477446138859,-0.008242935833414,-0.20535060623462,43.5775849853962,18.2947664347012,-0.373468256655115,1.43979976959156,-0.041951902084833,-1.01680982008685,0.15616502964485,1.52119117432622E-06,0.081483720794495,-0.315411139578367,0.131284761591928,0.146993904432364,3.23940570908144,0.739935761157192,0.532584519336965,0.132956704009392,0.420735703097307
Sample_8,0.646807101169631,-3.41702290938701,0,-3.94288621224496,-9.64192300809039,-2.36660351260466,-2,0.204352992164786,1.96316085557906,-1.11997902177973,0.188887975082927,0.029079607259691,0.16818765031146,-0.208554053568538,-0.128834530441964,-0.236141368551433,-0.729105012165948,0.067711564810103,-0.773951095927032,0.147892572624998,0.538942609754133,-1.0686048095813,-0.092538384807995,1.02405699248333,-0.024961802067992,0.021692547556086,0.265009514657171,0.079504918074235,0.832680458916485,0.292908770889497,0.430000007152557,0.310855010902742,0.814414791089718,-0.006278845620417,-64.8859955407625,-1.31151934417903,0.097141575663841,-179.366957081831,-0.291316508801174,-0.21305381250393,0.072621488382538,-1.53965392404643,-0.266578109859652,0.429753952456406,-0.017946570834403,0.064556009793006,6.63819813766941,-0.011465398795314,-0.240571949051514,1.11057242389942,2.25812085453072,1.07499289932912,-6.85349325473362,-4.61011943197826,-3.73885539138246,130.011877155368,-0.37432729768859,-1.23780298387441,-0.072696927917488,-3988.29249098804,0.273534986830782,0.356152704931446,41.9595331386663,-0.32495840592763,0.041364352772172,-42.1825381354074,-0.311945996526477,-0.009856332602958,0.060560910956382,0.716906971339085,0.000864192813961,1.46611948192386,-0.089650308960856,0.351980645603419,0.069196688355078,2.01342921060859,-0.016376826755304,0.050227198382681,1.56762796640396,1.55510950012831,0.015034697803148,-0.16186248150419,54.4799273269091,5.06850012333598,-0.735838084520998,0.262748753014307,0.073651078890995,-0.297906116776132,0.031350495141619,0.000164590511276,0.107077940558028,-0.495253530375894,0.113941839451002,0.105856933052879,3.91336800412955,1.01045720200896,0.797332800745014,-0.110278477744112,0.82454538915772
Sample_9,0.393393323177403,1.21801534130645,0,-8.87274904070364,-6.15501702050526,-1.62048814527982,-1,0.628183973727573,5.05330337178295,0.628194651537342,0.039142006718065,0.131746994729322,-0.587237958330175,-0.252557020472679,0.067354922492086,-0.067128069616548,-0.447709732604133,0.094706355580082,-1.68108290414477,0.185415778980582,0.17257065334848,-1.5343954882519,-0.069684995934949,0.835849549300875,0.253317592396343,-0.283783270262575,0.392886603742727,0.001226822998433,2.60054828144098,-0.00376564337304,0,0.33648200519383,-0.170626653400774,-0.037910422323005,-67.0547339013683,-0.194081650490261,0.10756895190957,-36.9438079185784,-0.606724066834431,-0.269156873699697,0.156750544090755,-2.63085208550183,-0.518774056680903,0.403388685306614,-0.241536120441666,0.103409919160539,4.94376986822135,-0.013585152566705,-0.274724186853092,0.610579388375892,6.51039596897317,1.56401064383181,-9.72070013853954,-1.30621614670387,-1.87895115571405,188.783166860172,-0.237988209025378,3.84875833068124,-0.0454297030478,27454.6654490347,0.319370977726066,-0.321210889494978,38.143364152631,-0.572949693734936,0.018883393247251,-42.0940768769788,-0.574946275775585,-0.012773739460224,0.049582668303353,0.310006574254658,-0.001663384598981,-0.360585875141706,-0.086216178506334,0.202255308780252,0.358646792607033,1.91425996887392,-0.025847998781968,-0.018479060606697,1.93999996781349,-0.043410111626145,0.00650118947308,-0.055914692576673,37.3165001845191,12.572551507561,-0.429992925623945,0.913846432767173,-0.11756112061783,-0.884458810901388,0.439214242479143,-0.000130458442791,0.381673679024061,-1.03987806319693,0.181024823814056,0.123219921136069,2.55654331043206,0.878378658448211,0.797242268116426,0.119905482092766,0.38641907456622
Sample_10,0.519205701086088,-2.22372070238271,0,-8.21890618049201,-3.9548561181674,-2.38023550064886,-1,1.0081749710007,3.71513776168057,7.92568577807106,0.151354819814383,0.308822525501407,-0.754091236331231,0.007333146558468,0.646812683153257,0.139777464665764,-0.388195916834457,0.201191966605481,-0.45600579422802,0.473878144005219,0.827691671975026,-0.442429564554914,-0.70126376106964,0.927406445330192,0.358097493433888,0.755899468068492,-0.173523657567945,0.004558131098747,-0.038443984172317,-0.010823697987734,0.215000003576279,-0.025987999513745,-0.458552172524531,-0.00315488960971,-67.044460821201,-2.69042187904961,0.38800282357181,-128.16047751141,0.208619548213392,-0.251657905451264,0.212828879739391,-2.29764186781858,-0.523820989433076,0.398636322596564,-0.019610933886849,-0.024501447060711,9.80335002803622,-0.027796685233641,0.287517933363745,1.04293611251035,4.14290185444406,-0.431832177681827,-0.128773981348786,-0.063925575967674,-2.1677736459807,54.6166217168584,-0.346063827554157,3.95736977696181,-0.0310187590577,10024.6489374284,0.62205695360899,-0.008743879327085,-28.274746527055,-0.58446245840155,0.038552252855461,-42.3192267271888,-0.106056092698131,-0.009521851019057,0.063497338488789,0.321624171030635,-0.000143896245587,1.31911169256942,-0.074450710911222,0.102602377896119,0.338259341195226,-3.02699586904691,-0.030080216140098,0.034107306805977,1.93999996781349,2.44642251782352,-0.006324934533994,-0.274817026177395,82.3777661407948,11.2028051239904,-0.610978287981275,1.20169208826326,-0.086132919770995,-0.468115077099526,0.191062927159364,0.000157686675892,0.195049648744089,-0.729534331493157,0.158213184542547,0.069646433901964,3.43417624907306,1.07567359354161,1.03259341373351,0.158498028650937,1.14902644019458
