Polygenic Score (PGS) ID,PGS Name,Reported Trait,Mapped Trait(s) (EFO label),Mapped Trait(s) (EFO ID),PGS Development Method,PGS Development Details/Relevant Parameters,Original Genome Build,Number of Variants,Number of Interaction Terms,Type of Variant Weight,PGS Publication (PGP) ID,Publication (PMID),Publication (doi),Score and results match the original publication,Ancestry Distribution (%) - Source of Variant Associations (GWAS),Ancestry Distribution (%) - Score Development/Training,Ancestry Distribution (%) - PGS Evaluation,FTP link,Release Date,License/Terms of Use
PGS000001,PRS77_BC,Breast Cancer,breast carcinoma,EFO_0000305,SNPs passing genome-wide significance,P<5x10-8,NR,77,0,NR,PGP000001,25855707,10.1093/jnci/djv036,True,European:100,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000001/ScoringFiles/PGS000001.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000002,PRS77_ERpos,ER-positive Breast Cancer,estrogen-receptor positive breast cancer,EFO_1000649,SNPs passing genome-wide significance,P<5x10-8,NR,77,0,NR,PGP000001,25855707,10.1093/jnci/djv036,True,European:100,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000002/ScoringFiles/PGS000002.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000003,PRS77_ERneg,ER-negative Breast Cancer,estrogen-receptor negative breast cancer,EFO_1000650,SNPs passing genome-wide significance,P<5x10-8,NR,77,0,NR,PGP000001,25855707,10.1093/jnci/djv036,True,European:100,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000003/ScoringFiles/PGS000003.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000004,PRS313_BC,Breast Cancer,breast carcinoma,EFO_0000305,Hard-Thresholding Stepwise Forward Regression,p < 10^-5,GRCh37,313,0,NR,PGP000002,30554720,10.1016/j.ajhg.2018.11.002,True,European:100,European:100,European:77.8|Multi-ancestry (including European):6.7|Not Reported:4.4|Additional Asian Ancestries:4.4|African:2.2|Hispanic or Latin American:2.2|Multi-ancestry (excluding European):2.2,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000004/ScoringFiles/PGS000004.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000005,PRS313_ERpos,ER-positive Breast Cancer,estrogen-receptor positive breast cancer,EFO_1000649,Hard-Thresholding Stepwise Forward Regression,p < 10^-5,GRCh37,313,0,NR,PGP000002,30554720,10.1016/j.ajhg.2018.11.002,True,European:100,European:100,European:90|Not Reported:5|Multi-ancestry (excluding European):5,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000005/ScoringFiles/PGS000005.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000006,PRS313_ERneg,ER-negative Breast Cancer,estrogen-receptor negative breast cancer,EFO_1000650,Hard-Thresholding Stepwise Forward Regression,p < 10^-5,GRCh37,313,0,NR,PGP000002,30554720,10.1016/j.ajhg.2018.11.002,True,European:100,European:100,European:85.7|Not Reported:7.1|Multi-ancestry (excluding European):7.1,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000006/ScoringFiles/PGS000006.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000007,PRS3820_BC,Breast Cancer,breast carcinoma,EFO_0000305,LASSO penalized regression,p < 0.001,GRCh37,3820,0,NR,PGP000002,30554720,10.1016/j.ajhg.2018.11.002,True,European:100,European:100,European:60|African:20|Multi-ancestry (including European):20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000007/ScoringFiles/PGS000007.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000008,PRS3820_ERpos,ER-positive Breast Cancer,estrogen-receptor positive breast cancer,EFO_1000649,LASSO penalized regression,p < 0.001,GRCh37,3820,0,NR,PGP000002,30554720,10.1016/j.ajhg.2018.11.002,True,European:100,European:100,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000008/ScoringFiles/PGS000008.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000009,PRS3820_ERneg,ER-negative Breast Cancer,estrogen-receptor negative breast cancer,EFO_1000650,LASSO penalized regression,p < 0.001,GRCh37,3820,0,NR,PGP000002,30554720,10.1016/j.ajhg.2018.11.002,True,European:100,European:100,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000009/ScoringFiles/PGS000009.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000010,GRS27,Coronary heart disease,coronary artery disease,EFO_0001645,Genome-wide significant variants,,NR,27,0,NR,PGP000003,25748612,10.1016/S0140-6736(14)61730-X,True,European:100,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000010/ScoringFiles/PGS000010.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
